bblid,envSES,envHouseholds,neighborhoodCrime
81005,-0.114534609,-0.741393308,
81007,0.635081425,-1.146792803,
81016,1.064627,1.040122076,
81022,0.577204517,-1.092832084,
81025,0.598605115,0.613676595,
81028,0.618486029,0.810167927,
81031,0.729379426,0.325008916,
81037,-0.820561514,-0.703875188,
81039,0.615572669,-0.755166646,
81040,1.186577109,0.469865978,
81043,-1.373069657,-0.958919907,1.339318509
81046,1.247450805,1.64922978,
81047,1.022065415,0.120111559,
81055,-0.521469444,0.208351592,0.032748678
81062,-1.635767922,1.742469493,0.391962284
81065,1.11019532,0.252997124,
81068,1.06942813,1.704117679,
81078,0.858363163,-0.169805956,
81083,-1.692925067,-1.073674066,
81085,-1.500363094,-0.988139561,
81087,1.340439112,0.2236147,
81093,-1.278430839,1.068310794,-0.055334428
81098,-1.138250541,-0.797995941,-0.516500968
81125,0.429937376,-1.81200514,
81142,-1.358856319,0.722032886,
81151,0.584637528,-0.985676704,
81157,0.769963012,-0.643089447,
81159,-1.630490403,-2.608198438,0.961188684
81162,0.879299389,0.612846528,
81172,0.956934069,1.211809549,
81178,0.805393992,0.128714549,
81208,0.422735002,-0.604768473,
81211,0.095011868,-0.783177496,
81222,-0.199545919,-0.874496891,
81225,1.143514043,0.333320978,
81231,-1.39028079,2.535930095,-0.197352392
81233,0.458107889,-0.705393588,
81252,-0.340299622,1.351553418,
81257,1.229333188,1.402083283,
81262,0.925805846,0.4789859,
81265,0.667473072,0.52435411,
81271,0.640024921,-0.062019391,
81274,0.70432111,1.324721202,
81287,0.820992908,0.98899796,
81303,0.390314661,-0.240708165,
81305,0.699793473,-0.071104963,
81313,0.018154445,0.348370763,-0.96886606
81319,0.044549672,-0.878662232,
81323,0.273480663,-0.155268806,
81329,-0.340299622,1.351553418,
81340,0.52072652,0.591401311,
81353,-1.029616762,-0.428652754,0.878691348
81355,-2.087701491,0.179881654,-0.376960583
81359,-1.161115097,0.574298775,-0.052931414
81361,-0.934936722,0.334332654,
81364,-1.408215661,-0.690711277,-0.980093299
81372,-0.173420105,-1.669230246,-0.239907203
81375,0.568677915,-1.543825315,
81378,-2.605606185,2.129023668,0.038539912
81381,-0.255412798,1.818954061,
81387,0.803757388,-1.171520357,
81401,-0.362945352,-2.813925149,
81407,-0.577080223,0.247075615,-0.363945879
81409,1.001126141,0.469288709,
81412,-1.437004752,0.143016451,0.336105355
81414,-1.135924487,-1.728937476,-0.881202766
81422,-0.811667443,-1.688439962,-0.809693007
81431,-1.462198966,-0.058451287,-0.245981351
81442,-1.208518236,-0.948670347,
81444,-0.131100557,0.635552229,
81447,-1.218628861,-0.91184359,-0.41620997
81450,-1.656122312,0.241470673,2.185090615
81456,0.018464193,-0.090378771,
81462,-1.416070967,-1.156280333,-0.83719122
81465,-1.454290494,1.787972574,-0.285090412
81468,-1.206339016,0.85943387,0.0453637
81470,-1.034005868,0.521344735,
81486,0.669144535,0.001902544,
81489,-1.012072085,0.708764768,
81506,0.661879715,-1.359899479,
81508,-0.92895119,0.041982605,
81511,-2.032548767,-0.509745082,-0.191461861
81515,-1.563106408,-2.175453083,0.07680939
81521,-0.099599204,-0.822564292,
81526,-0.80240764,-0.229682137,0.011131503
81528,-0.724457479,-0.1252788,
81533,-2.127609375,-2.368866408,0.07470615
81541,-1.732757614,1.026035455,-0.024545811
81544,-0.042857247,0.02107406,
81560,-1.422589675,2.482805775,-0.260195028
81565,0.339301826,-0.32348271,
81570,0.584533255,-1.215403311,
81582,-1.951884069,-0.157515454,0.805837364
81595,-0.882993407,0.626907915,-0.420707843
81598,-1.732757614,1.026035455,-0.024545811
81604,0.366966955,-1.112130156,
81612,-1.177619692,-0.260466409,-0.828310949
81618,0.900820253,-0.152501973,
81630,0.973284243,1.097434377,
81633,-1.833045579,0.624846905,-0.606220109
81641,-1.426477758,-1.159622808,0.137889889
81644,-1.033343006,0.037691677,-0.329680607
81650,0.862469816,0.970455924,
81656,-0.22003718,-1.881388252,-0.040008462
81659,-1.589186759,-1.241540306,-0.030785756
81662,-1.387983352,2.967996794,-0.127308934
81665,-1.928413638,-0.121258376,
81676,0.819842506,-0.131359522,
81691,-1.920303292,1.595148338,0.394907977
81697,-1.781069521,1.685522048,-0.536654424
81705,-1.279890007,-1.574947451,0.927033962
81713,-1.399071512,-0.259677153,-0.177494662
81718,-1.716254856,1.571059369,-0.518983465
81725,-1.427765996,-2.19862169,0.150102471
81727,-1.384803162,0.449265584,0.023699645
81729,0.184755413,-1.008514583,
81736,0.899244254,-0.446314003,
81739,0.654779405,0.332094091,
81745,1.302980728,0.932530961,
81748,-0.238945176,-0.736758454,-0.647792586
81751,-0.094765391,-2.160675242,1.709517857
81754,0.454386489,0.363041187,
81757,-1.108850829,-0.727079971,-0.409610193
81760,0.612602039,-0.442898346,
81763,0.646724461,-0.365617969,
81774,-0.062783806,-0.732476924,
81777,-1.500361256,-0.718215485,1.194202887
81786,-0.955138299,0.102697144,-0.513645646
81788,-1.454290494,1.787972574,-0.285090412
81790,0.180232866,0.251982915,
81797,-1.734443102,-0.964213926,0.030308699
81800,1.089036363,-0.525483848,
81805,0.160312607,-0.321441149,
81807,0.154493388,-0.017150012,
81817,0.668523423,-0.495885829,
81826,-1.221044669,1.655569505,
81837,-1.32529888,0.163666322,
81840,0.833024668,0.849524349,
81852,0.267958314,0.190655345,
81855,-1.606967593,1.716854107,0.775881543
81861,-0.911694874,-0.222064696,-0.422042642
81865,0.494219953,-0.574290849,
81870,0.765371268,0.821843886,
81876,-1.154176908,-0.778070344,0.476125762
81887,1.06942813,1.704117679,
81890,0.975700485,0.933537816,
81900,-0.724108738,-0.897143994,-0.429194424
81903,0.35325222,0.818872939,
81906,0.06966842,-2.562633054,-0.223766746
81909,0.892122261,0.969452059,
81912,-1.877368997,3.450256834,-0.49395191
81929,-1.932002052,-1.336418887,
81931,0.640024921,-0.062019391,
81934,0.699823396,0.042147889,
81939,-0.387529042,-1.370417432,0.8552519
81943,1.041859053,-0.972295136,
81946,-1.462198966,-0.058451287,-0.566169869
81947,-1.294739704,-1.176132405,-0.081869301
81949,-1.976106216,1.253191707,0.292950154
81964,-0.224414239,0.2259685,
81970,0.994924853,-0.742801885,
81973,-1.437721723,-1.095414842,-0.808903802
81976,0.956934069,1.211809549,
81982,0.841184028,1.318817624,
81989,0.834376952,-0.498011601,
81992,-0.600646863,-1.016125512,-0.129990812
81995,-1.81513298,0.450942501,0.096243711
82003,-1.631624472,-0.243720792,-0.317753993
82018,-0.75719524,0.686172186,
82021,-1.59137309,1.016465797,0.002706993
82039,-1.716254856,1.571059369,-0.518983465
82042,-0.198996927,3.423584038,
82045,0.95696485,0.072385673,
82048,0.517965698,-0.900877485,
82051,-0.175102436,0.099771535,
82054,1.0294599,0.598209242,
82060,1.089633937,-0.000724907,
82063,-1.462198966,-0.058451287,-0.566169869
82066,-0.641630052,0.367589519,
82087,-0.302356479,0.552053576,
82092,-1.387983352,2.967996794,-0.127308934
82095,-1.469480177,0.029834449,
82096,0.011576116,-0.501377913,-1.077752885
82099,0.609561602,-1.671089383,
82105,1.124991771,0.79067046,
82111,1.014189341,-0.031615682,
82124,-1.429416955,-1.050954192,
82138,0.724485334,0.664529922,
82143,1.006079161,0.368854579,
82146,0.470535078,0.360998413,
82149,0.754650108,0.769604334,
82155,-0.611105407,0.452797391,
82161,0.24528499,-0.763613911,
82164,0.517965698,-0.900877485,
82167,0.845268341,0.252137266,
82170,-1.642569683,1.816825306,0.130932954
82172,0.608168461,-1.495431537,-0.802461003
82175,-1.506358946,-0.917737617,-0.750414064
82177,0.402612319,1.667597309,
82180,-0.500460177,-0.323684176,-0.211572073
82186,0.86158045,-0.172189703,
82194,-0.42246162,-0.50507912,-0.925716537
82196,-1.206773232,-2.000803636,1.646885762
82199,1.161477851,0.024705829,
82202,1.436001406,1.865081536,
82208,0.718676115,0.626008353,
82217,0.528363926,-0.14072794,
82220,1.152594017,0.428208389,
82226,0.995012128,1.148936054,
82229,0.710839057,0.061469011,
82232,0.43326006,-0.610349536,
82249,0.479972016,-0.615641101,
82252,0.961300613,-0.327232943,
82261,0.44060529,-0.567191469,
82267,-1.92896162,-1.353564091,-0.672064105
82270,0.660510847,0.725168056,
82272,-0.059429337,0.837013825,
82275,1.342473122,0.93261939,
82278,0.894928755,0.848091785,
82281,-0.458431154,-1.934882168,
82287,1.222032879,0.947382177,
82290,1.080029254,-0.752062821,
82293,1.226455855,0.542357356,
82311,-0.592126723,0.252320927,
82316,0.337712874,-0.085093196,
82322,0.956340416,0.105199654,
82325,0.495422524,-0.149383648,
82328,1.166803498,0.003688809,
82336,0.631018694,0.218830216,
82347,0.363288283,0.414365986,
82349,-1.823592079,0.032056375,-0.296516945
82351,0.273104508,-0.03246048,
82353,0.652718588,-0.316479307,
82359,1.206747998,-0.086351933,
82361,-1.250769434,-0.819700908,-0.118516719
82364,0.529440596,-0.512992267,-0.766712303
82373,0.526930961,-2.308866079,-1.036428268
82383,0.728708551,-0.608866292,
82386,0.927613335,0.782534495,
82399,-1.183099667,-0.224029419,0.322705046
82409,0.562593652,-0.618913337,
82412,-0.141536347,0.630372323,
82420,0.348411114,-0.615397232,
82423,1.230798864,1.405078525,
82426,0.936077813,0.388217514,
82431,0.587450142,-0.095636992,
82445,0.864573332,-0.269209359,
82453,1.348350365,0.152389538,
82458,0.055218611,-0.444489382,
82464,-0.172128288,-1.38067165,
82467,-0.033710515,-0.449359041,
82470,0.79762881,0.249567882,
82475,-0.935097445,-0.968100631,-0.69255547
82489,0.955112215,1.672052216,
82492,-1.491854022,-0.88233298,-0.386353227
82497,0.44058998,-0.875219633,
82503,0.348085805,-1.28840831,
82511,0.636952802,0.184305336,
82521,0.553882458,-0.54410053,
82527,-0.438359998,-0.370856151,-0.821667633
82532,0.705042702,-0.145360743,
82537,0.724485334,0.664529922,
82545,0.435707202,-1.160420755,-0.953614127
82548,0.431835338,0.555918397,
82551,0.563438275,0.144968023,
82554,0.669655166,-0.073488094,
82559,0.301150725,-0.983456602,-0.551261814
82565,-0.276844658,0.186841917,
82568,0.708930716,0.66486537,
82574,-1.913541069,2.197391314,-0.260016636
82579,1.146742121,0.371070096,
82582,-0.688665056,-0.835745508,
82587,0.500159274,-0.231396076,
82593,0.667473072,0.52435411,
82602,0.910088973,0.85910035,
82610,0.816544089,1.039459963,
82613,1.388578299,0.329535282,
82616,0.431835338,0.555918397,
82631,-1.00142896,-1.478775664,-0.592794126
82645,0.217867518,-0.879101013,
82647,0.455946576,-0.722750075,
82650,0.356681596,-0.187177912,
82652,1.178159344,-0.020784885,
82655,-0.094765391,-2.160675242,0.9207632
82660,0.184755413,-1.008514583,
82663,1.115085546,-0.589145776,
82668,1.122605363,0.907269376,
82671,0.166285054,-0.41148739,
82674,0.944211593,0.638184814,
82679,-1.530259933,0.175539807,-0.170561534
82693,1.110745666,0.354931958,
82709,-0.404565461,-0.559659581,
82711,0.183195345,0.857009616,
82746,0.672358033,-0.510915463,
82751,0.963725645,-0.25746338,
82754,1.048411895,0.740591104,
82764,0.15341538,-0.192366845,
